parameter,comment,options,label
groups,array-like of shape (n_samples) default=None Group labels for the samples used while splitting the dataset into,copy.deepcopy math.ceil math.floor math.log abc.abstractmethod numbers.Integral numbers.Real numpy _search.BaseSearchCV None.ParameterGrid None.ParameterSampler base.is_classifier _split.check_cv _split._yields_constant_splits metrics._scorer.get_scorer_names utils.resample utils._param_validation.Interval utils._param_validation.StrOptions utils.multiclass.check_classification_targets utils.validation._num_samples,
**fit_params,dict of string -> object Parameters passed to the ``fit`` method of the estimator.,copy.deepcopy math.ceil math.floor math.log abc.abstractmethod numbers.Integral numbers.Real numpy _search.BaseSearchCV None.ParameterGrid None.ParameterSampler base.is_classifier _split.check_cv _split._yields_constant_splits metrics._scorer.get_scorer_names utils.resample utils._param_validation.Interval utils._param_validation.StrOptions utils.multiclass.check_classification_targets utils.validation._num_samples,
ind,int The iteration index,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
X,array-like of shape (n_samples n_features) Input data where `n_samples` is the number of samples and `n_features` is the number of features.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
y,array-like of shape (n_samples n_output) or (n_samples) default=None Target relative to X for classification or regression; None for unsupervised learning.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
X,iterable Data to predict on. Must fulfill input requirements of the underlying estimator.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
X,indexable length n_samples Must fulfill the input assumptions of the underlying estimator.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
X,indexable length n_samples Must fulfill the input assumptions of the underlying estimator.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
X,indexable length n_samples Must fulfill the input assumptions of the underlying estimator.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
X,indexable length n_samples Must fulfill the input assumptions of the underlying estimator.,abc.ABCMeta abc.abstractmethod collections.defaultdict collections.abc.Mapping collections.abc.Sequence collections.abc.Iterable functools.partial functools.reduce itertools.product numbers operator time warnings numpy numpy.ma.MaskedArray scipy.stats.rankdata base.BaseEstimator base.is_classifier base.clone base.MetaEstimatorMixin _split.check_cv _validation._fit_and_score _validation._aggregate_score_dicts _validation._insert_error_scores _validation._normalize_score_results _validation._warn_or_raise_about_fit_failures exceptions.NotFittedError utils.check_random_state utils.random.sample_without_replacement utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions utils._tags._safe_tags utils.validation.indexable utils.validation.check_is_fitted utils.validation._check_fit_params utils.metaestimators.available_if utils.parallel.delayed utils.parallel.Parallel metrics._scorer._check_multimetric_scoring metrics._scorer.get_scorer_names metrics.check_scoring,
